mouse_gene,human_gene
Gm23981,RNU6-769P
Gm26131,RNU6-238P
Cenpp,CENPP
Mir331,MIR331
Fam3b,FAM3B
Tmem225,TMEM225
Gm23102,RNU5E-5P
Or1n1,OR1N1
Or1n1b,OR1N1
Gm22069,RNU6-477P
Or1n2,OR1N2
Insyn2b,INSYN2B
Gm22557,RNU6-101P
Gm26329,RNY1P16
Prkaa1,PRKAA1
Or5c1,OR5C1
Gm24892,RNU6-1188P
Gm24035,RNU6-1188P
Kirrel3,KIRREL3
Gm55779,RN7SKP11
Cntnap3,CNTNAP3C
Smim40,SMIM40
Smim40-ps,SMIM40
Barhl1,BARHL1
Or14j1,OR14J1
Mir30b,MIR30B
Mir30d,MIR30D
Gm55494,RN7SKP235
Gm54935,RN7SKP235
Gsdmc2,GSDMC
Gsdmc4,GSDMC
Gsdmc,GSDMC
Gsdmc3,GSDMC
Syngap1,SYNGAP1
Cacna2d4,CACNA2D4
Jakmip1,JAKMIP1
Phf21b,PHF21B
Mrps26,MRPS26
Pou5f1,POU5F1B
Cacng7,CACNG7
Gm24928,RNU6-842P
Dtd2,DTD2
Zhx3,ZHX3
Snord72,SNORD72
AI429214,C8orf48
Gpr33,GPR33
Cecr2,CECR2
Cdkl3,CDKL3
Panx3,PANX3
Cacng8,CACNG8
Clic6,CLIC6
Defa37,DEFA6
Defa32,DEFA6
Defa25,DEFA6
Defa36,DEFA6
Defa3,DEFA6
Defa30,DEFA6
Defa33,DEFA6
Defa22,DEFA6
Defa31,DEFA6
Defa39,DEFA6
Defa24,DEFA6
Defa2,DEFA6
Defa38,DEFA6
Defa26,DEFA6
Defa41,DEFA6
Defa29,DEFA6
Defa40,DEFA6
Defa17,DEFA6
Defa21,DEFA6
Defa20,DEFA6
AY761185,DEFA6
Defa35,DEFA6
Defa28,DEFA6
Defa43,DEFA6
Defa23,DEFA6
Defa34,DEFA6
Defa5,DEFA6
Defa42,DEFA6
Defa37,DEFA4
Defa32,DEFA4
Defa25,DEFA4
Defa36,DEFA4
Defa3,DEFA4
Defa30,DEFA4
Defa33,DEFA4
Defa22,DEFA4
Defa31,DEFA4
Defa39,DEFA4
Defa24,DEFA4
Defa2,DEFA4
Defa38,DEFA4
Defa26,DEFA4
Defa41,DEFA4
Defa29,DEFA4
Defa40,DEFA4
Defa17,DEFA4
Defa21,DEFA4
Defa20,DEFA4
AY761185,DEFA4
Defa35,DEFA4
Defa28,DEFA4
Defa43,DEFA4
Defa23,DEFA4
Defa34,DEFA4
Defa5,DEFA4
Defa42,DEFA4
Gm25687,RN7SL240P
Gm24812,RN7SL240P
Ptch1,PTCH1
Fscb,FSCB
Gm55126,RNU6-544P
Mir708,MIR708
Gm54631,RN7SKP53
Gm55992,RN7SKP53
Defb48,DEFB109B
Defb22,DEFB108C
Defb12,DEFB105B
Defb35,DEFB105B
Ifnar2,IFNAR2
Gm25104,RNU4-23P
Gm23656,RNU6-321P
Cinp,CINP
Mir326,MIR326
Snord15a,SNORD15A
Snord15b,SNORD15B
Cldn23,CLDN23
Mfhas1,MFHAS1
Srebf2,SREBF2
Ms4a14,MS4A14
Tomm34,TOMM34
Gm22753,RNU6-682P
Ppp1r3b,PPP1R3B
Cdkn2aipnl,CDKN2AIPNL
Gm54928,RNU6-526P
Mir124a-1,MIR124-1
Il12b,IL12B
Gm55765,RNU6-684P
Igha,IGHA1
Gm25137,RNU6-729P
Prss51,PRSS51
Prss55,PRSS55
Rp1l1,RP1L1
Ms4a5,MS4A5
Timd4,TIMD4
Tektip1,TEKTIP1
4930578I06Rik,C8orf74
Zfp961,ZNF700
Ctcfl,CTCFL
Pou2f3,POU2F3
Sox7,SOX7
Zfp78,ZNF763
Garin3,GARIN3
Xkr6,XKR6
Mir598,MIR598
Defb48,DEFB109D
Higd2a,HIGD2A
Prop1,PROP1
Zfp78,ZNF20
Gmcl1,GMCL2
Lancl3,LANCL3
Gpx3,GPX3
Gm54750,7SK
Arc,ARC
Catsperz,CATSPERZ
Slc36a3,SLC36A3
Polr1g,POLR1G
Or1m1,OR1M1
Or7g31,OR7G1
Or7g25,OR7G1
Or7g17,OR7G1
Or7g34,OR7G1
Or7g12,OR7G3
Or7g19,OR7G3
Mir221,MIR221
Mir222,MIR222
Map1a,MAP1A
Or7d10,OR7D4
Or7d9,OR7D4
Or7d11,OR7D4
Slc36a2,SLC36A2
Or7a36,OR7A17
Or7a42,OR7A17
Or7a38,OR7A17
Or7a40,OR7A17
Nkx3-2,NKX3-2
Brf2,BRF2
Diaph2,DIAPH2
F2rl3,F2RL3
Mtnr1a,MTNR1A
Ptgdr,PTGDR
Slc22a12,SLC22A12
Rpp25,RPP25
Shisa7,SHISA7
Gm24045,RNY1P14
Gm55767,RNY1P14
Gm56480,RNY1P14
Gm26124,RNY1P14
Gm26438,RNY1P14
Gm24203,RNY1P14
Gm23921,RNY1P14
Gm26456,RNY1P14
Golga2,GOLGA6D
Gm24198,RNU6-310P
Grik2,GRIK2
Ptger2,PTGER2
Pnma8c,PNMA8C
Gm36210,C19orf85
Gm49661,THSD8
Gjd2,GJD2
Mex3d,MEX3D
Cers1,CERS1
Slc10a4-ps,SLC10A4
Gpr176,GPR176
Zar1,ZAR1
Ankrd31,ANKRD31
Haus3,HAUS3
Nanog,NANOGP8
Ganc,GANC
Lgals7,LGALS7
Atxn1,ATXN1
Kcna7,KCNA7
Lmtk3,LMTK3
Sv2c,SV2C
Atp5pf,ATP5PF
Gm55320,RN7SKP231
Mir192,MIR192
Gpha2,GPHA2
Tcim,TCIM
Fam90a1b,FAM90A3
Fam90a1a,FAM90A3
Fam90a1b,FAM90A15
Fam90a1a,FAM90A15
Fam90a1b,FAM90A13
Fam90a1a,FAM90A13
Fam90a1b,FAM90A5
Fam90a1a,FAM90A5
Fam90a1b,FAM90A11
Fam90a1a,FAM90A11
Fam90a1b,FAM90A12
Fam90a1a,FAM90A12
Fam90a1b,FAM90A20
Fam90a1a,FAM90A20
Batf2,BATF2
Fam90a1b,FAM90A24
Fam90a1a,FAM90A24
Zfp78,ZNF439
Slc25a31,SLC25A31
Adgrb1,ADGRB1
Zfp551,ZNF551
Or52r1c,OR52R1
Or52r1b,OR52R1
Or52r1,OR52R1
Or51g1,OR51G1
Or52j3,OR52J3
Gm22335,RNU6-583P
Or52e2,OR52E2
Ccnd3,CCND3
Pgrmc2,PGRMC2
Zfy2,ZNF154
Zfy1,ZNF154
Iqgap2,IQGAP2
Pdlim3,PDLIM3
Gm55634,RNU6-902P
Klk9,KLK9
Hbb-y,HBE1
Klk13,KLK13
Or51b4,OR51B4
Or51b6b,OR51B6
Or51b6,OR51B6
Or51q1,OR51Q1
Or51q1c,OR51Q1
Or52d1,OR52D1
Ubqln3,UBQLN3
Defb42,DEFB136
Ubqlnl,UBQLNL
Defb22,DEFB134
Or52b6,OR52B6
Or56b1,OR56B1
Or56b1b,OR56B1
Lrtm2,LRTM2
Or52e8,OR52E6
Or52e8b,OR52E6
Mrgprg,MRGPRG
Mrgpre,MRGPRE
Rasa3,RASA3
Dtx4,DTX4
Iglon5,IGLON5
Klrg1,KLRG1
Rnf39,RNF39
Cldnd2,CLDND2
Fam241a,FAM241A
Nkx6-1,NKX6-1
Or2j3,OR2J1
Wnt7a,WNT7A
Or2h1,OR2H1
Or2h2,OR2H1
Or2h2c,OR2H1
Or2h1b,OR2H1
Or2h2b,OR2H1
Wdfy3,WDFY3
Gm38999,C19orf84
Gm55407,RN7SKP216
Gm22055,RNU6-879P
Siglecl1,SIGLECL1
Inhbc,INHBC
Or2j3,OR2J2
Or10c1,OR10C1
Nkrf,NKRF
Gatd1,GATD1
Marchf9,MARCHF9
Chl1,CHL1
Eef1akmt3,EEF1AKMT3
Nsun6,NSUN6
Tarm1,TARM1
Pirb,LILRA4
Lilra6,LILRA4
Pira12,LILRA4
Pira13,LILRA4
Lilra5,LILRA4
Pira1,LILRA4
Pira2,LILRA4
Gm24378,RNU6-713P
Zc3h7b,ZC3H7B
1700017N19Rik,C12orf50
Nmbr,NMBR
Btn1a1,BTN1A1
Leng9,LENG9
Kcnc3,KCNC3
Rtl8a,RTL8B
Rtl8b,RTL8B
Rtl8c,RTL8B
Gm25886,RNU6-469P
Gm55756,RNU6-469P
Vps36,VPS36
Rtl8a,RTL8C
Rtl8b,RTL8C
Rtl8c,RTL8C
Ak9,AK9
Mybl2,MYBL2
Pcdh15,PCDH15
Rtl8a,RTL8A
Rtl8b,RTL8A
Rtl8c,RTL8A
Il31,IL31
D630039A03Rik,C9orf152
Spib,SPIB
Txndc8,TXNDC8
Gng5c,GNG5B
B3gnt4,B3GNT4
Crmp1,CRMP1
Magea13,MAGEC3
Magea13,MAGEC1
Gm24119,SNORA53
Ikbip,IKBIP
Adam18,ADAM18
Gm54463,SNORA52
Snora52,SNORA52
Ranbp6,RANBP6
Shroom2,SHROOM2
Or1b1,OR1B1
2310030G06Rik,C11orf52
Emc10,EMC10
Timm8b,TIMM8B
Kcnmb4,KCNMB4
Taar1,TAAR1
Gpr6,GPR6
Capn3,CAPN3
Gm56237,RNU4-70P
Kcnq5,KCNQ5
Avpr1a,AVPR1A
Zfc3h1,ZFC3H1
Cldn34c4,CLDN34
Cldn34c2,CLDN34
Cldn34d,CLDN34
Cldn34c1,CLDN34
Cldn34b3,CLDN34
Cldn34c6,CLDN34
Cldn34c3,CLDN34
Cldn34c5,CLDN34
Cldn34b2,CLDN34
Cldn34b1,CLDN34
Cldn34b4,CLDN34
Cldn34a,CLDN34
Plet1,PLET1
Snora47,SNORA47
Satl1,SATL1
Gm24086,RNU6-1025P
Mis18a,MIS18A
Muc6,MUC6
Mrpl40,MRPL40
Trpm3,TRPM3
Pde8b,PDE8B
2610028H24Rik,C21orf58
Trex2,TREX2
Gtse1,GTSE1
B3gnt8,B3GNT8
Catsperd,CATSPERD
Prr22,PRR22
Adam2,ADAM2
Gm25549,RNU6-399P
4930590J08Rik,C3orf20
Mirlet7i,MIRLET7I
Vmac,VMAC
Gm22663,RNU6-95P
Gm24887,RNU6-95P
Mir675,MIR675
Snord37,SNORD37
Or4c10b,OR4C46
Or4c10,OR4C46
Or4c105,OR4C46
Or4c106,OR4C46
Plcz1,PLCZ1
H4c6,H4C11
Radx,RADX
Tmprss11f,TMPRSS11F
Or52l1,OR52L1
Nfix,NFIX
Or56b35,OR56B4
Or56b34,OR56B4
Gm22321,RNU6-861P
Pde10a,PDE10A
Or8a1,OR8A1
Or8a1b,OR8A1
Derl3,DERL3
Gucy1a2,GUCY1A2
Tmprss11e,TMPRSS11E
Cd40lg,CD40LG
Gm25755,RNU6-1285P
Fgf2,FGF2
Lss,LSS
Mtrf1,MTRF1
Hic2,HIC2
Cox8a,COX8A
Gm55957,RNU1-61P
Gm25039,RNU6-972P
Snord61,SNORD61
Gm23428,RNU6-72P
Phox2a,PHOX2A
Tada2b,TADA2B
Lama2,LAMA2
Efhb,EFHB
Polr2f,POLR2F
Gm54519,RN7SKP36
Psapl1,PSAPL1
Gata5,GATA5
Capza3,CAPZA3
Gm23297,SNORA54
Epyc,EPYC
Gm55200,RN7SKP50
Gria2,GRIA2
Frey1,FREY1
Asxl1,ASXL1
Gm23035,RNU6-600P
Fam76b,FAM76B
Wnt10b,WNT10B
Pp2d1,PP2D1
Gm25518,RNU6-940P
Ddn,DDN
Sdf2l1,SDF2L1
Dhh,DHH
Ints8,INTS8
Cripto,CRIPTO3
Efnb1,EFNB1
Gm24185,RNU6-781P
Gm23901,RNU6-781P
Syn2,SYN2
Mir200c,MIR200C
Gm23547,SCARNA12
Sco2,SCO2
Fgf23,FGF23
Slc9a7,SLC9A7
Gdf11,GDF11
Josd1,JOSD1
Ccdc85b,CCDC85B
AI837181,C11orf68
Drap1,DRAP1
Acrbp,ACRBP
Peg3,PEG3
Dgcr6,DGCR6
Mbnl3,MBNL3
Otp,OTP
Rcan2,RCAN2
Cst6,CST6
Spink5,SPINK5
Catsper1,CATSPER1
Ccn6,CCN6
Cdc45,CDC45
Sdr9c7,SDR9C7
Cnih2,CNIH2
Gzf1,GZF1
Slc22a13,SLC22A13
Slc22a13b,SLC22A13
Gm22975,RNU6-1203P
Gtf2h3,GTF2H3
Tmem151a,TMEM151A
Cd248,CD248
Fkbp1a,FKBP1A
Gm25589,RNU1-84P
Pacs1,PACS1
Prl2c1,PRL
Prl2c5,PRL
Prl7d1,PRL
Prl6a1,PRL
Prl8a1,PRL
Prl8a9,PRL
Prl7a1,PRL
Prl2a1,PRL
Prl3b1,PRL
Prl5a1,PRL
Prl7a2,PRL
Prl3d2,PRL
Prl8a8,PRL
Prl,PRL
Prl3d1,PRL
Prl2c2,PRL
Prl2b1,PRL
Prl7c1,PRL
Prl8a6,PRL
Prl3c1,PRL
Prl3a1,PRL
Prl3d3,PRL
Prl8a2,PRL
Prl4a1,PRL
Prl7b1,PRL
Prl2c3,PRL
Pou5f1,POU5F1
Rorb,RORB
Ptprg,PTPRG
Cst11,CST11
Ggt7,GGT7
Trpm6,TRPM6
Myod1,MYOD1
Csnk2a2ip,CSNK2A2IP
Ly6k,LY6K
Kcnc1,KCNC1
Rnf139,RNF139
Rgs20,RGS20
Kbtbd8,KBTBD8
Mtmr2,MTMR2
Pdzrn3,PDZRN3
Smim33,SMIM33
Fam81b,FAM81B
Ar,AR
Kmt2b,KMT2B
Lzts1,LZTS1
Ddx4,DDX4
Hspb8,HSPB8
Trib1,TRIB1
Mtfp1,MTFP1
Rep15,REP15
Impg2,IMPG2
Lrrc55,LRRC55
Myom1,MYOM1
Prg3,PRG3
Dusp15,DUSP15
Kera,KERA
Tmprss3,TMPRSS3
Clcn5,CLCN5
Fkbp2,FKBP2
Med13l,MED13L
Atp6v1e1,ATP6V1E1
Cdadc1,CDADC1
Exoc1l,EXOC1L
Gm23629,RNU6-652P
Fgf5,FGF5
Tmem158,TMEM158
D030056L22Rik,C9orf40
Spmap2l,SPMAP2L
Mrgprd,MRGPRD
Defb22,DEFB108B
Defb43,DEFB131B
Spink2,SPINK2
Gpr27,GPR27
Dtd1,DTD1
Lpxn,LPXN
Mtus2,MTUS2
Cfap44,CFAP44
Scn4b,SCN4B
Galntl6,GALNTL6
Actr5,ACTR5
Arhgap33,ARHGAP33
Slc46a3,SLC46A3
Egfl6,EGFL6
1700001O22Rik,C9orf50
Catsper3,CATSPER3
Ccdc81,CCDC81
Morc1,MORC1
Foxd4,FOXD4L6
Ptgis,PTGIS
Pitx1,PITX1
Lrch2,LRCH2
Zfp974,ZNF721
Ifna1,IFNA4
Ifna9,IFNA4
Ifna12,IFNA4
Ifna15,IFNA4
Ifna7,IFNA4
Ifna14,IFNA4
Ifna6,IFNA4
Ifna2,IFNA4
Ifna11,IFNA4
Ifna5,IFNA4
Ifnab,IFNA4
Ifna13,IFNA4
Ifna16,IFNA4
Ifna4,IFNA4
Ifna1,IFNA7
Ifna9,IFNA7
Ifna12,IFNA7
Ifna15,IFNA7
Ifna7,IFNA7
Ifna14,IFNA7
Ifna6,IFNA7
Ifna2,IFNA7
Ifna11,IFNA7
Ifna5,IFNA7
Ifnab,IFNA7
Ifna13,IFNA7
Ifna16,IFNA7
Ifna4,IFNA7
Ifna1,IFNA10
Ifna9,IFNA10
Ifna12,IFNA10
Ifna15,IFNA10
Ifna7,IFNA10
Ifna14,IFNA10
Ifna6,IFNA10
Ifna2,IFNA10
Ifna11,IFNA10
Ifna5,IFNA10
Ifnab,IFNA10
Ifna13,IFNA10
Ifna16,IFNA10
Ifna4,IFNA10
Ifna1,IFNA16
Ifna9,IFNA16
Ifna12,IFNA16
Ifna15,IFNA16
Ifna7,IFNA16
Ifna14,IFNA16
Ifna6,IFNA16
Ifna2,IFNA16
Ifna11,IFNA16
Ifna5,IFNA16
Ifnab,IFNA16
Ifna13,IFNA16
Ifna16,IFNA16
Ifna4,IFNA16
Klhl9,KLHL9
Foxe1,FOXE1
Hemgn,HEMGN
Hemgnl,HEMGN
Neurog1,NEUROG1
Nalcn,NALCN
Gypa,GYPB
Xbp1,XBP1
Slc6a7,SLC6A7
Gm23459,RNU4-15P
Prelid3b,PRELID3B
Il9r,IL9R
Arvcf,ARVCF
Grm6,GRM6
Gm50092,SRRM5
Cfap68,CFAP68
Amh,AMH
Pdrg1,PDRG1
Klhl4,KLHL4
Trat1,TRAT1
Gm55516,RN7SKP157
Ttc23l,TTC23L
Pstpip2,PSTPIP2
Mbd3l2,MBD3L5
Mrgpra2b,MRGPRX4
Mrgprb8,MRGPRX4
Mrgprb4,MRGPRX4
Mrgprb3,MRGPRX4
Mrgpra3,MRGPRX4
Mrgpra9,MRGPRX4
Mrgpra4,MRGPRX4
Mrgprb5,MRGPRX4
Mrgpra6,MRGPRX4
Mrgprx1,MRGPRX4
Mrgpra2a,MRGPRX4
Mrgprb1,MRGPRX4
Mrgpra1,MRGPRX4
Mrgprb2,MRGPRX4
Mrgprx2,MRGPRX4
Mbd3l2,MBD3L4
Mansc4,MANSC4
Mbd3l2,MBD3L2
Dnmt3c,DNMT3B
Dnmt3b,DNMT3B
Foxn4,FOXN4
Bfsp2,BFSP2
Or13a23,OR5F1
Or5be3,OR5F1
S1pr5,S1PR5
Or8h6,OR8H3
Or8h8,OR8H3
Or8h9,OR8H3
Or8h7,OR8H3
Or8h10,OR8H3
Klk1b9,KLK3
Klk1b11,KLK3
Klk1b16,KLK3
Klk1b1,KLK3
Klk1b8,KLK3
Klk1b22,KLK3
Klk1b26,KLK3
Klk1b5,KLK3
Klk1b4,KLK3
Klk1,KLK3
Klk1b24,KLK3
Klk1b27,KLK3
Klk1b21,KLK3
Klk1b3,KLK3
Or8k21,OR8K5
Or8k16,OR8K5
Ugt2a1,UGT2A1
Rnf7l,RNF7
Rnf7,RNF7
Kntc1,KNTC1
Or5j3,OR5J2
Pou5f2,POU5F2
Or10q12,OR10Q1
Or10q1,OR10Q1
Or10q1b,OR10Q1
Nr2f1,NR2F1
Or5d20,OR5G3
Prok2,PROK2
Mpst,MPST
Greb1l,GREB1L
Dynlt3,DYNLT3
Cfap299,CFAP299
Or4d11,OR4D11
Or8u9,OR8U1
Sox14,SOX14
Or5al1,OR5AL1
Or5al5,OR5AL1
Or5al6,OR5AL1
Zfp354b,ZNF354B
Or8u3,OR8U3
Zic1,ZIC1
Or5m9b,OR5M9
Or5m9,OR5M9
Unc5c,UNC5C
Sct,SCT
Gm23330,RNU1-39P
Drd4,DRD4
Rtl4,RTL4
Rap2c,RAP2C
Ppm1l,PPM1L
Hira,HIRA
Gm26226,RNU6-943P
Or10g6,OR10G6
Or10g9b,OR10G9
Or10g9,OR10G9
Or10g7,OR10G9
Mir130a,MIR130A
Gm23472,RNU2-2
Gm24950,RNU2-2
Gm23444,RNU2-2
Gm24497,RNU2-2
Gm25360,RNU2-2
Gm23971,RNU2-2
Gm23849,RNU2-2
Gm25939,RNU2-2
Gm22973,RNU2-2
Gm25813,RNU2-2
Rnu2-10,RNU2-2
Snord22,SNORD22
Gm24453,SNORD28
Synpr,SYNPR
Gm25894,SNORD26
Gm25855,SNORD25
Rcbtb1,RCBTB1
Slc6a19,SLC6A19
Ypel4,YPEL4
Prr12,PRR12
Btg3,BTG3
Kantr,KANTR
Adh4,ADH4
Slc6a18,SLC6A18
Nap1l2,NAP1L2
Zfy2,ZNF772
Zfy1,ZNF772
Nup62cl,NUP62CL
Gm54535,RN7SKP243
Emilin2,EMILIN2
Clcf1,CLCF1
Six5,SIX5
Rnf128,RNF128
Mapk4,MAPK4
Gm26373,RNU6-1238P
Ptprcap,PTPRCAP
Gpr152,GPR152
Mir218-1,MIR218-1
Kcnip4,KCNIP4
Hcar2,HCAR2
Hcar2,HCAR3
Gm23262,SNORD97
Hcar1,HCAR1
Apln,APLN
Sptbn4,SPTBN4
Praf2,PRAF2
Fshb,FSHB
Sis,SI
Tab3,TAB3
2210408I21Rik,KIAA0825
Rhag,RHAG
Ankrd33,ANKRD33
Krtap5-22,KRTAP5-2
Krtap5-1,KRTAP5-2
Krtap5-4,KRTAP5-2
Krtap5-5,KRTAP5-2
C1qtnf9,C1QTNF9
Serpinb2,SERPINB2
Krtap5-25,KRTAP5-6
Krtap5-23,KRTAP5-6
Krtap5-21,KRTAP5-6
Trio,TRIO
Tamalin,TAMALIN
Abhd13,ABHD13
Ift88,IFT88
Ndp,NDP
Lipt2,LIPT2
Mtcp1,MTCP1
Cstf1,CSTF1
Stab2,STAB2
Tmem50b,TMEM50B
Rtn4rl2,RTN4RL2
Chrna9,CHRNA9
9130008F23Rik,C6orf141
Steep1,STEEP1
Ube2l6,UBE2L6
H2bc11,H2BC13
H2bc12,H2BC13
H2bc15,H2BC13
H2bc24,H2BC13
H2bc23,H2BC13
H2bc7,H2BC13
H2bc13,H2BC13
Adamts3,ADAMTS3
Taar5,TAAR5
Mapre2,MAPRE2
Myct1,MYCT1
Ly6g6d,LY6G6D
Scn2b,SCN2B
Drp2,DRP2
Nkapl,NKAPL
Pom121l2,POM121L2
Or8g2b,OR8G3
Or8g2,OR8G3
Taf8,TAF8
Gm5617,C11orf71
Spring1,SPRING1
Afp,AFP
Tecta,TECTA
Spata16,SPATA16
Hrk,HRK
Or6c217,OR6C70
Or6c70,OR6C70
Or6c68,OR6C68
Samsn1,SAMSN1
Tbc1d8b,TBC1D8B
Snord59a,SNORD59A
Sp7,SP7
Igfl3,IGFL4
Snx19,SNX19
Ppef2,PPEF2
Mir148b,MIR148B
Scarna10,SCARNA10
Mbd3l2,MBD3L3
Naaladl2,NAALADL2
Or7g20,OR7G2
Or7g27,OR7G2
Or7g28,OR7G2
Or7g29,OR7G2
Or7g16,OR7G2
Or4f17,OR4F17
Or4f4b,OR4F17
Or4f4-ps1,OR4F17
Serpinb3a,SERPINB3
Serpinb3d,SERPINB3
Serpinb3b,SERPINB3
Serpinb3c,SERPINB3
Pfdn4,PFDN4
Gm55013,SNORA74
Gm24905,RNU6-249P
Gm24646,RNU6-249P
Gm54738,RN7SKP197
Prkab1,PRKAB1
Ablim2,ABLIM2
Gm136,C6orf163
Clec4g,CLEC4G
Cct8,CCT8
Rtl3,RTL3
Gjb1,GJB1
Kcnq2,KCNQ2
Nanos3,NANOS3
Raet1d,RAET1E
Raet1e,RAET1E
Zfp106,ZNF106
Cabp4,CABP4
Eid3,EID3
Atp8b3,ATP8B3
Rnft2,RNFT2
Mecom,MECOM
Tssk1,TSSK1B
Ms4a13,MS4A13
Mcc,MCC
Phactr1,PHACTR1
Pof1b,POF1B
Vamp1,VAMP1
Col13a1,COL13A1
Ldlrad4,LDLRAD4
Rnf212,RNF212
Lrrc75b,LRRC75B
Btnl2,BTNL2
Olig2,OLIG2
Cfl1,CFL1
Ripply2,RIPPLY2
Ifnl3,IFNL3
Ifnl2,IFNL3
Gm25128,SNORD83
Gm22345,RNU6-402P
Slc37a1,SLC37A1
Rergl,RERGL
Pex26,PEX26
Hcn2,HCN2
Cchcr1,CCHCR1
Csnk1a1,CSNK1A1
Myef2l,MYEF2
Myef2,MYEF2
Gpr174,GPR174
Vgll1,VGLL1
Fgf22,FGF22
Gm1043,C4orf50
Smim31,SMIM31
Vcf1,VCF2
Mtnr1b,MTNR1B
Ccdc117,CCDC117
Ppfia2,PPFIA2
Mmp1b,MMP1
Mmp1a,MMP1
Pspn,PSPN
Renbp,RENBP
Khsrp,KHSRP
Pate1,PATE1
Pate2,PATE2
Tob2,TOB2
Sorcs2,SORCS2
Ralbp1,RALBP1
Lrfn3,LRFN3
Pate3,PATE3
Cog6,COG6
Pate4,PATE4
Sdhaf1,SDHAF1
Nipsnap1,NIPSNAP1
Pgrmc1,PGRMC1
Unc13a,UNC13A
Gm24612,RNU6-429P
Gm25806,RNU4-86P
Gria1,GRIA1
Nutm1,NUTM1
Tmem132a,TMEM132A
Fgf13,FGF13
Trpm1,TRPM1
Snord73b,SNORD73B
Snord73a,SNORD73A
Prss48,PRSS48
Chrna10,CHRNA10
Gm23794,RNU6-1282P
Vegfc,VEGFC
Slc35a2,SLC35A2
Chst2,CHST2
Sh3bp1,SH3BP1
Rtp1,RTP1
Gm56012,RNA5SP172
Tead1,TEAD1
Scpppq1,SCPPPQ1
Insl3,INSL3
Gdf15,GDF15
Ppbp,PPBP
Ghsr,GHSR
Lypd3,LYPD3
Gpr149,GPR149
Chic2,CHIC2
Zfp541,ZNF541
Gsx2,GSX2
Fam181b,FAM181B
Clstn2,CLSTN2
Dip2a,DIP2A
Nap1l5,NAP1L5
Scgb1c1,SCGB1C1
Nars1,NARS1
Nlrp6,NLRP6
Rtp4,RTP4
Nfilz,NFILZ
Or11a4,OR11A1
Nkpd1,NKPD1
Dnajc13,DNAJC13
Ifitm5,IFITM5
Spc24,SPC24
Kpna3,KPNA3
Klk4,KLK4
Gm23219,RNU6-1292P
Tmem126b,TMEM126B
Desi1,DESI1
Spink7,SPINK7
Spink10,SPINK9
Spinkl,SPINK9
Spink11,SPINK9
Pirb,LILRA1
Lilra6,LILRA1
Pira12,LILRA1
Pira13,LILRA1
Lilra5,LILRA1
Pira1,LILRA1
Pira2,LILRA1
Snap29,SNAP29
Ccdc192,CCDC192
Tmem47,TMEM47
Kcnn2,KCNN2
Zfp78,ZNF674
Ccdc89,CCDC89
Gm26403,RNU6-126P
Ddt,DDT
Slco3a1,SLCO3A1
Kir3dl2,KIR3DL3
Kir3dl1,KIR3DL3
Kctd14,KCTD14
Trim42,TRIM42
Tmem217,TMEM217
Spata9,SPATA9
Klhl6,KLHL6
Ada,ADA
Xpnpep2,XPNPEP2
Dchs1,DCHS1
Elfn2,ELFN2
Mir9-2,MIR9-2
Tm9sf2,TM9SF2
H3f3b,H3Y2
Adamts9,ADAMTS9
H3f3b,H3Y1
Cabin1,CABIN1
Spock1,SPOCK1
Omp,OMP
Mir874,MIR874
Pcdha10,PCDHA4
Pcdha4,PCDHA4
BC051019,C11orf16
Ankrd33b,ANKRD33B
Zfp92,ZFP92
Gm24629,Y_RNA
Gm25283,Y_RNA
Gata6,GATA6
Slit3,SLIT3
Nrk,NRK
Snora23,SNORA23
Zscan5b,ZSCAN5B
Alas2,ALAS2
Ceacam18,CEACAM18
Etv2,ETV2
Ankrd34c,ANKRD34C
AI661453,C6orf132
Ryr3,RYR3
Cep76,CEP76
Mab21l1,MAB21L1
Armc12,ARMC12
Gk5,GK5
Rnaseh2b,RNASEH2B
Upk1a,UPK1A
Mir218-2,MIR218-2
Smim23,SMIM23
Gm22246,RNU6-9
Selenop,SELENOP
Prtn3,PRTN3
Lhfpl5,LHFPL5
Dusp22,DUSP22
Lrrc10b,LRRC10B
Tmprss9,TMPRSS9
Mta2,MTA2
Fbxo45,FBXO45
Napg,NAPG
Gm55508,RNU6-482P
Kcnip1,KCNIP1
Rnf168,RNF168
Pnpla5,PNPLA5
Rom1,ROM1
Cul4b,CUL4B
Mb21d2,MB21D2
Opa3,OPA3
Ints5,INTS5
Gmnc,GMNC
Mir330,MIR330
Adora2a,ADORA2A
Jak3,JAK3
1810009A15Rik,C11orf98
Snora57,SNORA57
Plcxd3,PLCXD3
Gm26430,RNU6-905P
Gm23326,RNU6-905P
Plac8l1,PLAC8L1
Rims1,RIMS1
Gm25473,RNU6-822P
Gm23714,RNU6-822P
Gm56295,RN7SKP284
Gm54530,RN7SKP284
Gm25599,RNU6-927P
Taf4b,TAF4B
Gm55916,RNU6-1129P
Gm26187,RNU6-1236P
Deup1,DEUP1
Ablim3,ABLIM3
Gm54723,RN7SKP46
Gm56276,RNU6-1294P
Gm55125,RNU6-1294P
Gm55140,RNU6-1294P
Gm54764,RN7SKP177
Gm22070,RNU6-547P
Gm54807,RN7SKP40
Gm29163,RNU6-486P
Gm25021,RNU6-486P
Gm26369,RNU6-505P
Gm25796,RNU1-70P
Eva1c,EVA1C
Gm22965,RNU6-1233P
